"Gene Name"	"Array data file names"	"Composite Element Ref"	"Antibody.validation.status"	"Antibody.Origin"	"Antibody.Source..Company."	"Catalog.Number"	"Protein.function.and.regulatory.pathways"
"RB1"	"Rb-M-E_GBL9017352.txt"	"Rb-M-E"	"**Used for QC**"	"Mouse"	"CST"	"9309"	"The retinoblastoma tumor suppressor protein Rb regulates cell proliferation by controlling progression through the restriction point within the G1-phase of the cell cycle. Rb has three functionally distinct binding domains and interacts with critical regulatory proteins including the E2F family of transcription factors, c-Abl tyrosine kinase, and proteins with a conserved LXCXE motif (2-4). Cell cycle-dependent phosphorylation by a CDK inhibits Rb target binding and allows cell cycle progression. Rb inactivation and subsequent cell cycle progression likely requires an initial phosphorylation by cyclin D-CDK4/6 followed by cyclin E-CDK2 phosphorylation. Specificity of different CDK/cyclin complexes has been observed in vitro and cyclin D1 is required for Ser780 phosphorylation in vivo."
"RBM15"	"RBM15-R-V_GBL9017768.txt"	"RBM15-R-V"	"Validated"	"Rabbit"	"SDI / Novus"	"21390002"	"RBM15, have repressor function in several signaling pathways"
"RB1"	"Rb_pS807_S811-R-V_GBL9017307.txt"	"Rb_pS807_S811-R-V"	"Validated"	"Rabbit"	"CST"	"9308"	"The retinoblastoma tumor suppressor protein regulates cell proliferation by controlling progression through the restriction point within the G1-phase of the cell cycle"
"RICTOR"	"Rictor-R-C_GBL9017514.txt"	"Rictor-R-C"	"UsewithCaution"	"Rabbit"	"CST"	"2114"	"Rapamycin-insensitive companion of mTOR mediate rictor-mTOR signaling and phosphorylates Akt/PKB on Ser473 required for the full activation of AKT"
"RICTOR"	"Rictor_pT1135-R-V_GBL9017515.txt"	"Rictor_pT1135-R-V"	"Validated"	"Rabbit"	"CST"	"3806"	"Rapamycin-insensitive companion of mTOR mediate rictor-mTOR signaling and phosphorylates Akt/PKB on Ser473 required for the full activation of AKT"
"RPS6"	"S6-R-E_GBL9017390.txt"	"S6-R-E"	"Under Evaluation"	"Rabbit"	"CST"	"2217"	"Down stream of PI3K/AKT/mTOR/p70 S6 kinase, Involved in growth factors and mitogens induced protein translation"
"RPS6"	"S6_pS235_S236-R-V_GBL9017308.txt"	"S6_pS235_S236-R-V"	"Validated"	"Rabbit"	"CST"	"2211"	"Down stream of PI3K/AKT/mTOR/p70 S6 kinase, Involved in growth factors and mitogens induced protein translation"
"RPS6"	"S6_pS240_S244-R-V_GBL9017309.txt"	"S6_pS240_S244-R-V"	"Validated"	"Rabbit"	"CST"	"2215"	"Down stream of PI3K/AKT/mTOR/p70 S6 kinase, Involved in growth factors and mitogens induced protein translation"
"SCD"	"SCD-M-V_GBL9017774.txt"	"SCD-M-V"	"Validated"	"Mouse"	"Santa Cruz"	"sc-58420"	"Stearoyl-CoA desaturase (SCD) is a microsomal enzyme required for the synthesis of oleate and palmitoleate, which are the major monounsaturated fatty acids of membrane phospholipids, triglycerides and cholesterol esters."
"SETD2"	"SETD2-R-E_GBL9017395.txt"	"SETD2-R-E"	"**Used for QC**"	"Rabbit"	"Abcam"	"ab69836"	"SETD2 is a Histone methyltransferase that methylates 'Lys-36' of histone H3. H3 'Lys-36' methylation represents a specific tag for epigenetic transcriptional activation. Probably plays a role in chromatin structure modulation during elongation via its interaction with hyperphosphorylated POLR2A. Binds DNA at promoters. May also act as a transcription activator that binds to promoters. Binds to the promoters of adenovirus 12 E1A gene in case of infection, possibly leading to regulate its expression."
"SRSF1"	"SF2-M-V_GBL9017775.txt"	"SF2-M-V"	"Validated"	"Mouse"	"Invitrogen"	"32-4500"	"The SF proteins are essential splicing factors and also regulate alternative splicing of many pre-mRNAs."
"SHC1"	"Shc_pY317-R-V_GBL9017310.txt"	"Shc_pY317-R-V"	"Validated"	"Rabbit"	"CST"	"2431"	"Serves as a scaffold protein in signaling for a variety of receptor tyrosine kinases"
"PTPN11"	"SHP-2_pY542-R-C_GBL9017799.txt"	"SHP-2_pY542-R-C"	""	""	""	""	""
"SLC1A5"	"SLC1A5-R-C_GBL9017783.txt"	"SLC1A5-R-C"	""	""	""	""	""
"DIABLO"	"Smac-M-E_GBL9017401.txt"	"Smac-M-E"	"**Used for QC**"	"Mouse"	"CST"	"2954"	"Smac/Diablo is a 21 kDa mammalian mitochondrial protein that functions as a regulatory component during apoptosis. Upon mitochondrial stress, Smac/Diablo is released from mitochondria and competes with caspases for binding of IAPs (inhibitor of apoptosis proteins). The interaction of Smac/Diablo with IAPs relieves the inhibitory effect of the IAPs on caspases. This interaction involves mainly the amino-terminal residues of Smac/Diablo with the BIR3 region of XIAP, supplemented with several other hydrophobic interactions between the helical structures of Smac/Diablo and other areas of BIR3."
"SMAD1"	"Smad1-R-V_GBL9017311.txt"	"Smad1-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1649-1"	"Mediates TGF beta signaling"
"SMAD3"	"Smad3-R-V_GBL9017312.txt"	"Smad3-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1735-1"	"Mediates TGF beta signaling"
"SMAD4"	"Smad4-M-V_GBL9017371.txt"	"Smad4-M-V"	"Validated"	"Mouse"	"Santa Cruz"	"sc-7966"	"Mediates TGF beta signaling"
"SNAI1"	"Snail-M-E_GBL9017372.txt"	"Snail-M-E"	"**Used for QC**"	"Mouse"	"CST"	"3895"	"Snail is a zinc-finger transcription factor that can repress E-cadherin transcription. Downregulation of E-cadherin is associated with epithelial-mesenchymal transition during embryonic development, a process also exploited by invasive cancer cells. Indeed, loss of E-cadherin expression is correlated with the invasive properties of some tumors and there is a considerable inverse correlation between Snail and E-cadherin mRNA levels in epithelial tumor cell lines. In addition, Snail blocks the cell cycle and confers resistance to cell death. Phosphorylation of Snail by GSK-3 and PAK1 regulates its stability, cellular localization and function."
"SRC"	"Src-M-V_GBL9017373.txt"	"Src-M-V"	"Validated"	"Mouse"	"Upstate (Millipore)"	"05-184"	"A member of Src family of protein tyrosine kinases"
"SRC"	"Src_pY416-R-C_GBL9017313.txt"	"Src_pY416-R-C"	"Use with Caution"	"Rabbit"	"CST"	"2101"	"A member of Src family of protein tyrosine kinases"
"SRC"	"Src_pY527-R-V_GBL9017314.txt"	"Src_pY527-R-V"	"Validated"	"Rabbit"	"CST"	"2105"	"A member of Src family of protein tyrosine kinases"
"STAT3"	"STAT3_pY705-R-V_GBL9017315.txt"	"STAT3_pY705-R-V"	"Validated"	"Rabbit"	"CST"	"9131"	"Signal transducer and activator of transcription 3 functions both in signal transduction and activation of transcription"
"STAT5A"	"STAT5-alpha-R-V_GBL9017316.txt"	"STAT5-alpha-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1289-1"	"Signal transducer and activator of transcription 5 functions both in signal transduction and activation of transcription"
"STMN1"	"Stathmin-R-V_GBL9017317.txt"	"Stathmin-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1972-1"	"Ubiquitous cytosolic phosphoprotein"
"SYK"	"Syk-M-V_GBL9017374.txt"	"Syk-M-V"	"Validated"	"Mouse"	"Santa Cruz"	"sc-1240"	"One of several members of the protein kinase superfamily involved in PI3K and PLC signaling"
"WWTR1"	"TAZ-R-C_GBL9017391.txt"	"TAZ-R-C"	"Validated"	"Rabbit"	"CST"	"2149"	"Transcriptional co-activator"
"TFRC"	"TFRC-R-V_GBL9017769.txt"	"TFRC-R-V"	"Validated"	"Rabbit"	"SDI / Novus"	"22500002"	"Transferrin Receptor"
"TIGAR"	"TIGAR-R-V_GBL9017763.txt"	"TIGAR-R-V"	"Under Evaluation"	"Rabbit"	"Epitomics"	"S1711"	"Regulates p53 tumor suppresor pathway and glycolysis"
"TGM2"	"Transglutaminase-M-V_GBL9017405.txt"	"Transglutaminase-M-V"	"Validated"	"Mouse"	"Lab Vision"	"MS-224"	"Transglutaminases catalyze the posttranslational modification of proteins by transamidation of available glutamine residues. Reported to facilitate breast cancer metastasis."
"TSC1"	"TSC1-R-C_GBL9017517.txt"	"TSC1-R-C"	"Use with Caution"	"Rabbit"	"CST"	"4906"	"The tumor suppressor genes TSC1 encode hamartin functions as a GTPase-activating protein for the Ras-related small G protein Rheb and thus inhibits targets of rapamycin including mTOR to regulate G1 phase of the cell cycle, steroid hormone regulation, Rho activation and anchoring neuronal intermediate filaments to the actin cytoskeleton. "
"TSC2"	"Tuberin-R-C_GBL9017319.txt"	"Tuberin-R-C"	"Validated"	"Rabbit"	"Epitomics"	"1613-1"	"Tuberous sclerosis complex-2 (TSC2 also known as Tuberin) is a tumor suppressor that forms a complex with TSC1 (Hamartin ) and this complex is known to control various cellular functions including cell cycle, endocytosis, adhesion, and transcription. Involved in AKT/mTOR signaling. "
"TSC2"	"Tuberin_pT1462-R-V_GBL9017760.txt"	"Tuberin_pT1462-R-V"	"Validated"	"Rabbit"	"CST"	"3617"	"Tuberin is a product of the TSC2 tumor suppressor gene and an important regulator of cell proliferation and tumor development. Involved in AKT/mTOR signaling. "
"KDR"	"VEGFR2-R-C_GBL9017386.txt"	"VEGFR2-R-C"	"Validated"	"Rabbit"	"CST"	"2479"	"A major receptor for VEGF-induced signaling in endothelial cells"
"XBP1"	"XBP1-G-C_GBL9017406.txt"	"XBP1-G-C"	"Use with Caution"	"Goat"	"Santa Cruz"	"sc-32136"	"The X-box binding protein-1 plays a role in regulation of expression of osteoblast-specific genes."
"XRCC1"	"XRCC1-R-C_GBL9017412.txt"	"XRCC1-R-C"	"Under Evaluation"	"Rabbit"	"CST"	"2735"	"A DNA repair protein important in both single strand break repair and base excision repair following damage from ionizing radiation and alkylating agents"
"YAP1"	"YAP-R-V_GBL9017324.txt"	"YAP-R-V"	"Under Evaluation"	"Rabbit"	"Santa Cruz"	"sc-15407"	"Involved in Src, AKT and MAPK signaling"
"YAP1"	"YAP_pS127-R-C_GBL9017325.txt"	"YAP_pS127-R-C"	"Under Evaluation"	"Rabbit"	"CST"	"4911"	"Involved in Src, AKT and MAPK signaling"
"YBX1"	"YB-1-R-V_GBL9017367.txt"	"YB-1-R-V"	"Validated"	"Rabbit"	"SDI"	"1725.00.02"	"Belongs to a family of evolutionarily conserved, multifunctional Y-box proteins that bind to DNA and RNA,  function as regulators of transcription, RNA metabolism, and protein synthesis"
"YBX1"	"YB-1_pS102-R-V_GBL9017327.txt"	"YB-1_pS102-R-V"	"Validated"	"Rabbit"	"CST"	"2900"	"Belongs to a family of evolutionarily conserved, multifunctional Y-box proteins that bind to DNA and RNA,  function as regulators of transcription, RNA metabolism, and protein synthesis"
"YWHAB"	"14-3-3_beta-R-V_GBL9029762.txt"	"14-3-3_beta-R-V"	"Validated"	"Rabbit"	"Santa Cruz"	"sc-628"	"14-3-3 proteins regulate many cellular processes relevant to cancer biology, notably apoptosis, mitogenic signaling and cell-cycle checkpoints"
"YWHAE"	"14-3-3_epsilon-M-C_GBL9029920.txt"	"14-3-3_epsilon-M-C"	"Use with Caution"	"Mouse"	"Santa Cruz"	"sc-23957"	"14-3-3 proteins regulate many cellular processes relevant to cancer biology, notably apoptosis, mitogenic signaling and cell-cycle checkpoints"
"YWHAZ"	"14-3-3_zeta-R-V_GBL9029763.txt"	"14-3-3_zeta-R-V"	"Validated"	"Rabbit"	"Santa Cruz"	"sc-1019"	"14-3-3 proteins regulate many cellular processes relevant to cancer biology, notably apoptosis, mitogenic signaling and cell-cycle checkpoints"
"EIF4EBP1"	"4E-BP1-R-V_GBL9029764.txt"	"4E-BP1-R-V"	"Validated"	"Rabbit"	"CST"	"9452"	"Involves in protein translation. Regulated by PI3K/AKT/mTOR pathway"
"EIF4EBP1"	"4E-BP1_pS65-R-V_GBL9029766.txt"	"4E-BP1_pS65-R-V"	"Validated"	"Rabbit"	"CST"	"9456"	"Involves in protein translation. Regulated by PI3K/AKT/mTOR pathway"
"EIF4EBP1"	"4E-BP1_pT37_T46-R-V_GBL9029765.txt"	"4E-BP1_pT37_T46-R-V"	"Validated"	"Rabbit"	"CST"	"9459"	"Involves in protein translation. Regulated by PI3K/AKT/mTOR pathway"
"EIF4EBP1"	"4E-BP1_pT70-R-V_GBL9029970.txt"	"4E-BP1_pT70-R-V"	"Use with Caution"	"Rabbit"	"CST"	"9455"	"Involved in protein translation, Regulated my PI3K/AKT/mTOR pathway"
"TP53BP1"	"53BP1-R-E_GBL9029767.txt"	"53BP1-R-E"	"Under Evaluation"	"Rabbit"	"CST"	"4937"	"Identified as a p53 binding partner that could enhance the transcriptional activity of p53., Also involves in DNA repair signaling"
"ACACA"	"ACC1-R-E_GBL9029769.txt"	"ACC1-R-E"	"Under Evaluation"	"Rabbit"	"Epitomics"	"1768-1"	"Key enzyme in the biosynthesis and oxidation of fatty acids. Involved in energy homeostasis regulation"
"ACACA ACACB"	"ACC_pS79-R-V_GBL9029768.txt"	"ACC_pS79-R-V"	"Validated"	"Rabbit"	"CST"	"3661"	"Key enzyme in the biosynthesis and oxidation of fatty acids. Involved in energy homeostasis regulation"
"TUBA1B"	"Acetyl-a-Tubulin-Lys40-R-E_GBL9030005.txt"	"Acetyl-a-Tubulin-Lys40-R-E"	"Under Evaluation"	"Rabbit"	"CST"	"5335"	"The cytoskeleton consists of three types of cytosolic fibers: microtubules, microfilaments (actin filaments), and intermediate filaments. Acetylation of _-tubulin at Lys40 is required for dynamic cell shape remodeling, cell motility, tubulin stability and terminal branching of cortical neurons"
"ACVRL1"	"ACVRL1-R-C_GBL9029958.txt"	"ACVRL1-R-C"	"Use with Caution"	"Rabbit"	"Epitomics"	"2940-1"	"TNF beta superfamily"
"ADAR"	"ADAR1-M-V_GBL9030014.txt"	"ADAR1-M-V"	"Validated"	"Mouse"	"Abcam"	"ab88574"	"Converts multiple adenosines to inosines and creates I/U mismatched base pairs in double-helical RNA substrates without apparent sequence specificity. It plays a role in RNA editing."
"AKT1 AKT2 AKT3"	"Akt-R-V_GBL9029961.txt"	"Akt-R-V"	"Validated"	"Rabbit"	"CST"	"9272"	"PI3K/AKT/mTOR pathway"
"AKT1 AKT2 AKT3"	"Akt_pS473-R-V_GBL9029772.txt"	"Akt_pS473-R-V"	"Validated"	"Rabbit"	"CST"	"9271"	"PI3K/AKT/mTOR pathway"
"AKT1 AKT2 AKT3"	"Akt_pT308-R-V_GBL9029773.txt"	"Akt_pT308-R-V"	"Validated"	"Rabbit"	"CST"	"9275"	"PI3K/AKT/mTOR pathway"
"PRKAA1"	"AMPK_alpha-R-C_GBL9029774.txt"	"AMPK_alpha-R-C"	"Use with Caution"	"Rabbit"	"CST"	"2532"	"Involved in energy homeostasis regulation"
"PRKAA1"	"AMPK_pT172-R-V_GBL9029775.txt"	"AMPK_pT172-R-V"	"Validated"	"Rabbit"	"CST"	"2535"	"Involved in energy homeostasis regulation"
"ANXA1"	"Annexin-1-M-E_GBL9030011.txt"	"Annexin-1-M-E"	"Under Evaluation"	"Mouse"	"BD Transduction"	"610066"	"Apoptosis"
"ANXA7"	"Annexin_VII-M-V_GBL9029921.txt"	"Annexin_VII-M-V"	"Validated"	"Mouse"	"BD Biosciences"	"610668"	"Apoptosis"
"AR"	"AR-R-V_GBL9029776.txt"	"AR-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1852-1"	"Androgen receptor (AR). Transcription Factor"
"ARAF"	"A-Raf-R-V_GBL9030032.txt"	"A-Raf-R-V"	""	""	""	""	""
"ARAF"	"A-Raf_pS299-R-C_GBL9029971.txt"	"A-Raf_pS299-R-C"	"Use with Caution"	"Rabbit"	"CST"	"4431"	"One of the main effectors recruited by GTP-bound Ras to activate the MEK-MAP kinase pathway "
"ARID1A"	"ARID1A-M-V_GBL9029996.txt"	"ARID1A-M-V"	"Validated"	"Mouse"	"Abgent"	"AT1188a"	"Involves in PI3K/PTEN signaling"
"ASNS"	"ASNS-R-V_GBL9029984.txt"	"ASNS-R-V"	"Validated"	"Rabbit"	"Sigma"	"HPA029318"	"The protein encoded by ASNS gene is involved in the synthesis of asparagine. "
"ATM"	"ATM-R-V_GBL9029972.txt"	"ATM-R-V"	"Under Evaluation"	"Rabbit"	"Abcam"	"ab32420"	"Serine/threonine protein kinase which activates checkpoint signaling upon double strand breaks (DSBs), apoptosis and genotoxic stresses such as ionizing ultraviolet A light (UVA), thereby acting as a DNA damage sensor. "
"AXL"	"Axl-R-V_GBL9030018.txt"	"Axl-R-V"	""	""	""	""	""
"BAD"	"Bad_pS112-R-V_GBL9029777.txt"	"Bad_pS112-R-V"	"Validated"	"Rabbit"	"CST"	"9291"	"Bcl-2 interacting mediator of cell death, pro-apoptotic protein "
"BAK1"	"Bak-R-E_GBL9029778.txt"	"Bak-R-E"	"Under Evaluation"	"Rabbit"	"Epitomics"	"1542-1"	"Bcl-2 interacting mediator of cell death, pro-apoptotic protein "
"BAP1"	"Bap1-c-4-M-V_GBL9030003.txt"	"Bap1-c-4-M-V"	"Ender Evaluation"	"Rabbit"	"Alomine"	"APC-125"	"BAP1 is a tumor suppressor that requires deubiquitinating activity and nuclear localization"
"BAX"	"Bax-R-V_GBL9029779.txt"	"Bax-R-V"	"Validated"	"Rabbit"	"CST"	"2772"	"Bcl-2 interacting mediator of cell death, pro-apoptotic protein "
"BCL2"	"Bcl-2-M-V_GBL9029922.txt"	"Bcl-2-M-V"	"Validated"	"Mouse"	"Dako"	"Dako M0887"	"Anti-apoptotic protein, Oncoprotein"
"BCL2A1"	"Bcl2A1-R-V_GBL9030028.txt"	"Bcl2A1-R-V"	""	""	""	""	""
"BCL2L1"	"Bcl-xL-R-V_GBL9029780.txt"	"Bcl-xL-R-V"	"Validated"	"Rabbit"	"CST"	"2762"	"Bcl-2 interacting mediator of cell death, anti-apoptotic protein "
"BECN1"	"Beclin-G-C_GBL9029956.txt"	"Beclin-G-C"	"Use with Caution"	"Goat"	"Santa Cruz"	"sc-10086"	"BECN1 (Beclin 1) is a coiled-coil protein that has been implicated as an inhibitor of tumorigenesis. BECN1, which associates with Bcl-2, plays a significant role in autophagy."
"CTNNB1"	"beta-Catenin-R-V_GBL9029786.txt"	"beta-Catenin-R-V"	"Validated"	"Rabbit"	"CST"	"9562"	"Downstream effector in the Wnt signaling pathway"
"BID"	"Bid-R-C_GBL9029781.txt"	"Bid-R-C"	"Use with Caution"	"Rabbit"	"Epitomics"	"1008-1"	"Bcl-2 interacting mediator of cell death, pro-apoptotic protein belonging to the BH3-interaction protein"
"BCL2L11"	"Bim-R-V_GBL9029782.txt"	"Bim-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1036-1"	"Bcl-2 interacting mediator of cell death, pro-apoptotic protein belonging to the BH3-interaction protein"
"BRAF"	"B-Raf-M-C_GBL9029944.txt"	"B-Raf-M-C"	"Use with Caution"	"Mouse"	"Santa Cruz"	"sc-5284"	"One of the main effectors recruited by GTP-bound Ras to activate the MEK-MAP kinase pathway "
"BRAF"	"B-Raf_pS445-R-V_GBL9030025.txt"	"B-Raf_pS445-R-V"	""	""	""	""	""
"BRCA2"	"BRCA2-R-C_GBL9029783.txt"	"BRCA2-R-C"	"Use with Caution"	"Rabbit"	"CST"	"9012"	"The breast cancer susceptibility protein BRCA2 has roles in multiple processes related to DNA damage, repair, cell cycle progression, transcription, ubiquitination, and apoptosis"
"BRD4"	"BRD4-R-V_GBL9030022.txt"	"BRD4-R-V"	""	""	""	""	""
"ABL1"	"c-Abl-R-V_GBL9030036.txt"	"c-Abl-R-V"	""	""	""	""	""
"CASP3"	"Caspase-3-R-C_GBL9030029.txt"	"Caspase-3-R-C"	"Use with Caution"	"Rabbit"	"Abcam"	"ab32042"	"Involved in the activation cascade of caspases responsible for apoptosis execution."
"CASP7"	"Caspase-7_cleavedD198-R-C_GBL9029770.txt"	"Caspase-7_cleavedD198-R-C"	"Use with Caution"	"Rabbit"	"CST"	"9491"	"A major contributor to the execution of apoptosis"
"CASP8"	"Caspase-8-M-E_GBL9029923.txt"	"Caspase-8-M-E"	"**Used for QC**"	"Mouse"	"CST"	"9746"	"Apoptosis induced through the CD95 receptor (Fas/APO-1) and tumor necrosis factor receptor 1 (TNFR1) activates caspase-8 and leads to the release of the caspase-8 active fragments, p18 and p10. Activated caspase-8 cleaves and activates downstream effector caspases such as caspase-1, -3, -6, and -7. Caspase-3 ultimately elicits the morphological hallmarks of apoptosis, including DNA fragmentation and cell shrinkage."
"CAV1"	"Caveolin-1-R-V_GBL9029787.txt"	"Caveolin-1-R-V"	"Validated"	"Rabbit"	"CST"	"3238"	"One of the principal structural components of the cholesterol/sphingolipid-enriched plasma membrane microdomain caveolae. Interact with multiple signaling molecules such as G_ subunit, tyrosine kinase receptors, PKCs, Src family tyrosine kinases, and eNOS"
"MS4A1"	"CD20-R-C_GBL9029973.txt"	"CD20-R-C"	"Use with Caution"	"Rabbit"	"Epitomics"	"1632"	"Human B lymphocyte surfacr marker"
"DPP4"	"CD26-R-V_GBL9030030.txt"	"CD26-R-V"	""	""	""	""	""
"PECAM1"	"CD31-M-V_GBL9029924.txt"	"CD31-M-V"	"Validated"	"Mouse"	"Dako"	"M0823"	"Endothelia cell marker"
"ITGA2"	"CD49b-M-V_GBL9029925.txt"	"CD49b-M-V"	"Validated"	"Mouse"	"BD"	"611016"	"Integrin"
"CDK1"	"CDK1-R-V_GBL9029788.txt"	"CDK1-R-V"	"Validated"	"Rabbit"	"CST"	"9112"	"Involved in the regulation of the entry of eukaryotic cells into mitosis"
"CDK1"	"CDK1_pY15-R-C_GBL9030039.txt"	"CDK1_pY15-R-C"	""	""	""	""	""
"CHEK1"	"Chk1-R-E_GBL9029789.txt"	"Chk1-R-E"	"Under Evaluation"	"Rabbit"	"CST"	"2345"	"Kinase acts downstream of ATM/ATR involving in DNA damage checkpoint control, embryonic development, and tumor suppression"
"CHEK1"	"Chk1_pS296-R-V_GBL9030026.txt"	"Chk1_pS296-R-V"	""	""	""	""	""
"CHEK1"	"Chk1_pS345-R-C_GBL9029790.txt"	"Chk1_pS345-R-C"	"Use with Caution"	"Rabbit"	"CST"	"2348"	"Kinase acts downstream of ATM/ATR involving in DNA damage checkpoint control, embryonic development, and tumor suppression"
"CHEK2"	"Chk2-M-V_GBL9029926.txt"	"Chk2-M-V"	"Under Evaluation"	"Mouse"	"CST"	"3440"	"Kinase acts downstream of ATM/ATR involving in DNA damage checkpoint control, embryonic development, and tumor suppression"
"CHEK2"	"Chk2_pT68-R-E_GBL9029791.txt"	"Chk2_pT68-R-E"	"Under Evaluation"	"Rabbit"	"CST"	"2197"	"Kinase acts downstream of ATM/ATR involving in DNA damage checkpoint control, embryonic development, and tumor suppression"
"BIRC2 "	"cIAP-R-V_GBL9029985.txt"	"cIAP-R-V"	"Use with Caution"	"Rabbit"	"Millipore"	"07-759"	"Apoptosis suppressor"
"JUN"	"c-Jun_pS73-R-V_GBL9029825.txt"	"c-Jun_pS73-R-V"	"Validated"	"Rabbit"	"CST"	"9164"	"MAPK pathway, A component of the transcription factor activator protein-1 (AP-1), Regulates cell proliferation, differentiation, and apoptosis, as well as transformation, invasion and metastasis"
"KIT"	"c-Kit-R-V_GBL9029829.txt"	"c-Kit-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1522"	"Tyrosine Kinase Receptor"
"CLDN7"	"Claudin-7-R-V_GBL9029792.txt"	"Claudin-7-R-V"	"Validated"	"Rabbit"	"Novus"	"NB100-91714"	"Claudins  make up tight junction strands."
"MET"	"c-Met-M-E_GBL9029934.txt"	"c-Met-M-E"	"**Used for QC**"	"Mouse"	"CST"	"3127"	"Met, a high affinity tyrosine kinase receptor for hepatocyte growth factor (HGF, also known as scatter factor) is a disulfide-linked heterodimer made of 45 kDa ?- and 145 kDa ?-subunits. The ?-subunit and the amino-terminal region of the ?-subunit form the extracellular domain. The remainder of the ?-chain spans the plasma membrane and contains a cytoplasmic region with tyrosine kinase activity. Interaction of Met with HGF results in autophosphorylation at multiple tyrosines, which recruit several downstream signaling components, including Gab1, c-Cbl, and PI3 kinase. These fundamental events are important for all of the biological functions involving Met kinase activity. The addition of a phosphate at cytoplasmic Tyr1003 is essential for Met protein ubiquitination and degradation. Phosphorylation at Tyr1234/1235 in the Met kinase domain is critical for kinase activation. Phosphorylation at Tyr1349 in the Met cytoplasmic domain provides a direct binding site for Gab1. Research studies have shown that altered Met levels and/or tyrosine kinase activities are found in several types of tumors, including renal, colon, and breast. Thus, investigators have concluded that Met is an attractive potential cancer therapeutic and diagnostic target."
